MeanTemperatureC,MeanDewPointC,MeanHumidity,MeanSeaLevelPressurehPa,MeanVisibilityKm,MeanWindSpeedKmh,MaxGustSpeedKmh,Precipitationmm,CloudCover,Events
4,3,95,1008,9,6,53,0.0,6,1
3,3,92,1003,9,8,47,0.0,5,0
3,1,85,999,10,19,42,0.0,6,1
3,-3,63,1010,10,19,40,0.0,2,1
0,0,95,1008,5,6,64,0.0,7,1
3,-1,82,1010,10,5,52,0.0,4,0
0,-1,93,1014,7,2,47,0.0,7,1
4,4,96,1005,8,8,27,0.0,7,0
10,3,65,1008,10,23,48,0.0,4,0
8,5,83,1018,10,5,29,0.0,5,0
10,7,90,1022,6,2,87,0.0,3,1
10,6,84,1022,10,8,52,0.0,1,1
9,4,75,1021,9,2,52,0.0,4,1
6,2,81,1020,9,2,35,0.0,4,0
8,5,83,1019,10,3,60,0.0,6,0
9,7,89,1017,10,5,29,0.0,6,0
9,5,78,1018,10,13,45,0.0,4,0
3,4,98,1019,7,2,42,0.0,6,0
7,6,97,1011,6,8,35,0.0,4,0
7,7,100,1005,8,5,35,0.0,5,0
8,6,89,1011,9,3,47,0.0,5,0
8,5,85,1016,9,3,39,0.0,5,0
10,9,96,1014,8,5,29,0.0,7,0
10,8,90,1021,10,6,27,0.0,5,0
9,7,89,1024,10,3,34,0.0,6,1
9,6,83,1025,10,2,45,0.0,2,0
8,6,84,1027,7,2,32,0.0,6,1
10,4,74,1027,9,6,32,0.0,3,1
8,6,83,1027,10,6,35,0.0,7,0
11,7,80,1030,10,6,58,0.0,5,0
9,7,87,1029,9,0,55,0.0,3,0
9,7,95,1028,3,0,50,0.0,3,1
9,7,93,1026,2,0,34,0.0,5,1
10,6,76,1025,7,3,52,0.0,4,1
6,2,71,1027,10,5,32,0.0,1,0
7,3,79,1029,9,5,26,0.0,2,0
8,4,79,1029,9,5,45,0.0,3,0
8,4,78,1029,10,2,45,0.0,3,1
8,1,68,1031,10,2,39,0.0,6,0
7,2,74,1031,10,3,52,0.0,1,0
7,3,76,1031,9,3,45,0.0,4,0
11,6,78,1032,8,3,42,0.0,2,0
10,6,78,1030,8,10,52,0.0,1,1
11,7,72,1029,10,14,55,0.0,3,0
12,9,82,1023,10,19,53,0.0,4,0
10,2,54,1024,10,14,47,0.0,2,1
7,3,76,1023,10,3,27,0.0,2,0
8,3,75,1027,10,5,60,0.0,1,0
9,3,72,1031,10,3,55,0.0,2,0
10,4,71,1033,10,3,32,0.0,3,0
10,5,72,1031,9,2,37,0.0,0,0
12,6,72,1029,9,2,45,0.0,2,0
12,7,77,1027,10,3,69,0.0,6,1
12,8,79,1023,7,6,53,0.0,3,1
9,6,80,1022,8,8,52,0.0,4,0
12,8,79,1025,9,10,47,0.0,4,1
11,5,76,1030,7,3,23,0.0,4,1
13,1,54,1034,10,3,48,0.0,1,0
11,2,59,1033,10,3,60,0.0,1,0
12,4,65,1030,10,5,27,0.0,0,0
13,6,63,1031,31,3,48,0.0,5,1
14,4,58,1034,11,2,47,0.0,3,1
13,6,65,1032,10,2,42,0.0,4,1
14,6,65,1031,10,2,26,0.0,4,0
14,6,56,1030,7,3,47,0.0,2,0
13,5,59,1026,9,3,52,0.0,0,0
12,5,63,1027,10,5,52,0.0,1,0
11,3,58,1029,10,6,32,0.0,4,1
10,1,55,1030,10,5,42,0.0,2,1
11,2,57,1029,10,3,24,0.0,7,1
13,3,57,1031,10,6,45,0.0,6,0
13,4,65,1030,10,3,34,0.0,3,0
13,3,53,1026,9,6,53,0.0,3,0
14,6,56,1025,10,11,58,0.0,1,0
13,6,61,1026,10,5,40,0.0,5,0
14,6,60,1025,10,5,35,0.0,1,0
16,6,57,1022,10,2,32,0.0,2,1
14,5,55,1019,10,3,47,0.0,4,1
13,4,57,1016,10,5,39,0.0,1,0
13,4,56,1016,10,3,29,0.0,2,1
14,2,46,1017,10,6,39,0.0,3,1
13,4,55,1017,10,5,29,0.0,1,1
13,4,55,1014,10,5,47,0.0,3,0
11,3,59,1015,10,23,55,0.0,2,1
11,5,63,1020,11,8,42,0.0,1,1
12,5,61,1024,11,2,45,0.0,2,1
13,6,62,1020,10,5,32,0.0,2,1
14,6,54,1017,10,6,64,0.0,1,0
14,6,56,1017,10,2,26,0.0,1,0
14,6,56,1017,10,2,55,0.0,1,1
14,7,60,1017,10,5,42,0.0,1,1
16,6,53,1016,10,0,39,0.0,2,1
16,7,57,1017,10,2,39,0.0,3,0
16,5,49,1021,10,14,37,0.0,1,1
17,6,49,1020,10,8,50,0.0,6,1
14,7,55,1017,10,6,32,0.0,5,0
16,9,72,1015,10,8,32,0.0,5,0
13,10,80,1018,10,5,66,0.0,5,0
14,6,62,1023,10,8,52,0.0,6,0
14,7,63,1027,10,10,72,0.0,4,0
13,4,60,1025,9,3,50,0.0,1,1
16,3,40,1018,8,8,53,0.0,2,0
16,5,49,1016,10,8,45,0.0,1,1
16,5,49,1016,10,3,42,0.0,1,1
16,6,49,1018,10,3,29,0.0,2,0
18,7,48,1014,10,6,50,0.0,6,1
17,11,72,1009,10,10,45,0.0,6,1
14,10,78,1008,10,6,40,0.0,6,0
14,13,93,1004,8,14,35,0.0,6,0
14,12,87,999,8,8,66,0.0,6,0
15,7,64,1001,10,13,52,0.0,5,0
13,2,45,1007,10,10,64,0.0,3,0
14,4,48,1015,10,6,37,0.0,2,0
13,7,62,1020,9,10,29,0.0,3,0
14,10,71,1021,10,3,40,0.0,5,0
16,11,73,1021,9,6,42,0.0,4,1
19,9,55,1021,10,16,50,0.0,4,0
19,11,57,1024,10,6,71,0.0,1,0
19,12,61,1021,10,5,61,0.0,1,0
19,7,45,1018,9,6,55,0.0,4,1
18,9,54,1020,10,5,48,0.0,3,0
19,11,57,1021,10,5,32,0.0,6,1
20,11,52,1021,10,6,27,0.0,4,1
20,12,57,1016,10,10,52,0.0,3,0
17,11,66,1009,10,29,72,0.0,4,0
13,4,58,1011,10,24,52,0.0,4,0
11,3,57,1010,10,24,64,0.0,5,0
11,2,52,1017,10,6,34,0.0,2,0
13,6,56,1016,10,6,63,0.0,3,1
14,8,62,1014,10,6,37,0.0,3,0
16,7,56,1013,10,10,45,0.0,3,0
