LotArea,BldgArea,ResArea,NumBldgs,NumFloors,LotDepth,BldgDepth,BuiltFAR,ResidFAR,FacilFAR
2500.0,12500.0,12500.0,1.0,5.0,100.0,85.0,5.0,6.02,6.5
1875.0,8595.0,6876.0,1.0,5.0,75.0,70.0,4.58,6.02,6.5
2500.0,6784.0,6784.0,1.0,4.0,100.0,75.0,2.71,3.0,3.0
2500.0,11500.0,9176.0,1.0,5.0,100.0,96.0,4.6,3.0,3.0
204540.0,1306230.0,1306230.0,4.0,16.0,487.58,48.0,6.39,2.43,4.8
1800.0,3120.0,2080.0,1.0,2.0,90.06,52.0,1.73,2.43,4.8
1800.0,2080.0,2080.0,1.0,2.0,90.06,52.0,1.16,2.43,4.8
1800.0,2080.0,2080.0,1.0,2.0,90.06,52.0,1.16,2.43,4.8
1800.0,2080.0,2080.0,1.0,2.0,90.06,52.0,1.16,2.43,4.8
1800.0,2080.0,2080.0,1.0,2.0,90.06,52.0,1.16,2.43,4.8
1700.0,2080.0,2080.0,1.0,2.0,85.06,52.0,1.22,2.43,4.8
1700.0,2080.0,2080.0,1.0,2.0,85.06,52.0,1.22,2.43,4.8
1700.0,2080.0,2080.0,1.0,2.0,85.06,52.0,1.22,2.43,4.8
1700.0,2080.0,2080.0,1.0,2.0,85.06,52.0,1.22,2.43,4.8
1700.0,3120.0,2080.0,1.0,2.0,85.06,52.0,1.84,2.43,4.8
2000.0,2080.0,2080.0,1.0,2.0,100.0,52.0,1.04,2.43,4.8
1700.0,3120.0,2080.0,1.0,2.0,85.0,52.0,1.84,2.43,4.8
1700.0,2080.0,2080.0,1.0,2.0,85.0,52.0,1.22,2.43,4.8
1700.0,2080.0,2080.0,1.0,2.0,85.0,52.0,1.22,2.43,4.8
1700.0,2080.0,2080.0,1.0,2.0,85.0,52.0,1.22,2.43,4.8
1700.0,2080.0,2080.0,1.0,2.0,85.0,52.0,1.22,2.43,4.8
4500.0,20585.0,18485.0,1.0,5.0,90.0,81.0,4.57,2.43,4.8
4503.0,10941.0,10941.0,1.0,5.0,90.0,90.0,2.43,2.43,4.8
4500.0,15985.0,15985.0,1.0,5.0,90.0,76.5,3.55,2.43,4.8
4500.0,18837.0,18837.0,1.0,5.0,90.0,81.0,4.19,2.43,4.8
