LotArea,BldgArea,ResArea,NumBldgs,NumFloors,LotDepth,BldgDepth,BuiltFAR,ResidFAR,FacilFAR
1667.0,2604.0,1736.0,1.0,2.0,100.0,52.0,1.56,2.43,4.8
1781.0,2466.0,1584.0,1.0,2.0,71.25,39.0,1.38,0.6,1.0
2538.0,2450.0,1225.0,1.0,1.0,101.5,53.0,0.97,0.9,2.0
1394.0,2619.0,1746.0,1.0,2.0,84.5,55.0,1.88,3.44,4.8
2000.0,1835.0,1280.0,1.0,2.0,100.0,32.0,0.92,0.9,2.0
2777.0,3115.0,1400.0,1.0,2.0,94.42,65.0,1.12,0.9,2.0
2500.0,2147.0,2147.0,2.0,2.5,100.0,42.0,0.86,0.9,2.0
2324.0,1728.0,864.0,1.0,1.0,95.5,48.0,0.74,0.6,1.0
2185.0,1750.0,1224.0,1.0,2.0,95.0,39.0,0.8,0.9,2.0
3750.0,3474.0,2316.0,2.0,2.0,75.0,50.0,0.93,0.9,2.0
2125.0,2528.0,2528.0,1.0,2.0,85.0,60.0,1.19,0.9,2.0
2375.0,4788.0,4788.0,1.0,3.0,95.0,76.0,2.02,0.9,2.0
2635.0,3338.0,2696.0,1.0,2.0,105.42,65.0,1.27,3.44,4.8
2305.0,3651.0,3651.0,1.0,3.0,94.75,50.0,1.58,0.9,2.0
2500.0,3402.0,3402.0,1.0,3.0,100.0,60.0,1.36,1.25,2.0
11200.0,50030.0,48230.0,1.0,6.0,100.0,85.33,4.47,3.44,4.8
3600.0,9056.0,9056.0,1.0,4.0,100.0,74.0,2.52,3.44,4.8
2000.0,2522.0,1800.0,1.0,2.0,100.0,45.0,1.26,0.9,2.0
2500.0,2660.0,2660.0,2.0,2.5,100.0,60.0,1.06,1.25,2.0
2677.0,2870.0,2870.0,1.0,2.0,107.08,70.0,1.07,0.9,2.0
2500.0,1920.0,1920.0,1.0,2.0,100.0,60.0,0.77,0.9,2.0
1744.0,2802.0,2802.0,1.0,3.0,69.17,60.0,1.61,1.25,2.0
10000.0,2735.0,2735.0,2.0,2.5,100.0,30.0,0.27,0.6,1.0
2416.0,2420.0,1210.0,1.0,2.0,95.67,55.0,1.0,6.02,6.5
2442.0,2110.0,2110.0,1.0,2.0,100.0,40.0,0.86,0.9,2.0
2500.0,2048.0,2048.0,1.0,2.0,100.0,50.0,0.82,1.25,2.0
7106.0,2268.0,2268.0,2.0,2.0,94.75,50.0,0.32,0.9,2.0
3053.0,2456.0,2456.0,1.0,2.0,109.0,63.0,0.8,0.9,2.0
1793.0,1332.0,1332.0,1.0,2.0,99.58,37.0,0.74,1.25,2.0
2500.0,1496.0,1496.0,1.0,2.0,100.0,42.0,0.6,0.6,1.0
3581.0,1286.0,1286.0,1.0,2.0,98.33,27.0,0.36,0.9,2.0
1578.0,3000.0,3000.0,1.0,3.0,64.42,48.0,1.9,3.44,4.8
4999.0,3456.0,3456.0,1.0,2.5,97.63,26.0,0.69,0.5,1.0
1750.0,1530.0,1020.0,1.0,2.0,100.0,30.0,0.87,0.9,2.0
2513.0,1120.0,1120.0,1.0,2.5,100.5,28.0,0.45,0.9,2.0
2372.0,1700.0,1360.0,2.0,2.0,75.5,34.0,0.72,0.9,2.0
2559.0,2070.0,1440.0,1.0,2.0,116.33,43.0,0.81,0.9,2.0
25634.0,87192.0,82348.0,1.0,6.0,100.94,90.0,3.4,6.0,6.0
2800.0,1944.0,1296.0,1.0,2.0,100.0,36.0,0.69,0.6,1.0
2415.0,4140.0,2940.0,1.0,3.0,96.58,90.0,1.71,2.0,2.0
2000.0,3604.0,3604.0,1.0,3.0,100.0,40.0,1.8,3.44,4.8
2500.0,1408.0,1408.0,2.0,2.0,100.0,30.0,0.56,0.6,1.0
1898.0,3132.0,2088.0,1.0,2.0,94.9,55.0,1.65,1.1,2.0
5760.0,3121.0,2214.0,2.0,2.0,110.0,41.0,0.54,0.6,1.0
2163.0,2100.0,1050.0,2.0,2.0,86.5,42.0,0.97,0.6,1.0
2500.0,11875.0,9775.0,1.0,5.0,100.0,95.0,4.75,2.43,4.8
3025.0,1400.0,1400.0,1.0,2.0,100.0,35.0,0.46,0.6,1.0
4449.0,14900.0,14900.0,1.0,4.0,102.08,87.0,3.35,3.44,4.8
2500.0,1152.0,1152.0,1.0,2.5,100.0,26.0,0.46,2.43,4.8
3000.0,2448.0,2448.0,2.0,2.0,100.0,67.0,0.82,0.9,2.0
2500.0,2538.0,1653.0,2.0,2.0,100.0,48.0,1.02,0.9,2.0
1429.0,1872.0,1248.0,1.0,2.0,57.17,24.0,1.31,3.0,3.0
6200.0,2180.0,1462.0,2.0,2.0,100.0,33.0,0.35,0.6,1.0
2375.0,1993.0,1993.0,1.0,2.5,95.0,52.0,0.84,0.9,2.0
2592.0,8775.0,8075.0,1.0,5.0,100.0,75.0,3.39,2.43,4.8
2100.0,1932.0,1932.0,1.0,2.0,100.0,46.0,0.92,2.43,4.8
2271.0,3360.0,2240.0,1.0,2.0,88.75,55.0,1.48,0.6,1.0
4450.0,1496.0,1496.0,2.0,2.5,85.5,41.0,0.34,0.9,2.0
2500.0,3647.0,2600.0,1.0,2.0,100.0,65.0,1.46,2.43,4.8
6387.0,1916.0,1916.0,1.0,2.0,95.0,25.0,0.3,0.6,1.0
2984.0,2245.0,1600.0,1.0,2.0,105.0,37.0,0.75,1.25,2.0
2500.0,3760.0,2480.0,2.0,2.0,100.0,60.0,1.5,0.9,2.0
4360.0,3300.0,3300.0,1.0,3.0,109.0,50.0,0.76,0.9,2.0
4122.0,3216.0,3216.0,2.0,2.0,114.5,56.0,0.78,2.43,4.8
2500.0,3600.0,3600.0,1.0,3.0,100.0,52.0,1.44,1.25,2.0
2500.0,1714.0,1714.0,1.0,2.0,100.0,25.0,0.69,3.44,4.8
1900.0,1681.0,1254.0,1.0,2.0,100.0,33.0,0.88,1.25,2.0
1854.0,1188.0,1188.0,1.0,2.0,103.0,33.0,0.64,1.25,2.0
2300.0,1944.0,1296.0,1.0,2.0,100.0,36.0,0.85,0.6,1.0
16380.0,72000.0,72000.0,1.0,5.0,125.0,115.0,4.4,6.02,6.5
2375.0,520.0,520.0,1.0,1.5,95.0,28.0,0.22,0.6,1.0
2500.0,2700.0,1800.0,2.0,2.0,100.0,50.0,1.08,0.9,2.0
1872.0,1584.0,1152.0,1.0,2.0,103.5,32.0,0.85,0.6,1.0
2500.0,1084.0,1084.0,2.0,2.0,100.0,34.5,0.43,0.9,2.0
2399.0,1840.0,1840.0,1.0,2.0,95.0,46.0,0.77,0.9,2.0
2573.0,1152.0,1152.0,1.0,2.0,95.0,32.0,0.45,0.9,2.0
1800.0,1744.0,1744.0,1.0,3.0,100.0,36.0,0.97,2.43,4.8
2158.0,1944.0,1296.0,1.0,2.0,83.0,36.0,0.9,0.6,1.0
2500.0,3609.0,3609.0,1.0,3.0,100.0,57.0,1.44,3.44,4.8
90876.0,291840.0,291840.0,14.0,6.0,253.67,253.0,3.21,6.02,6.5
2375.0,1408.0,1408.0,2.0,2.0,95.0,37.0,0.59,0.9,2.0
8369.0,3306.0,3306.0,1.0,2.75,120.42,38.0,0.4,0.5,1.0
2500.0,1440.0,792.0,1.0,1.0,100.0,46.0,0.58,0.9,2.0
2057.0,1690.0,1690.0,1.0,3.0,114.25,35.0,0.82,0.9,2.0
2242.0,2070.0,1440.0,1.0,2.0,100.0,40.0,0.92,0.9,2.0
2285.0,2730.0,2730.0,1.0,3.0,90.7,50.0,1.19,3.44,4.8
3300.0,2142.0,2142.0,1.0,2.0,100.0,51.0,0.65,0.6,1.0
2500.0,3760.0,2480.0,2.0,2.0,100.0,60.0,1.5,0.9,2.0
3750.0,2821.0,2821.0,1.0,2.5,100.0,46.0,0.75,1.25,2.0
2500.0,2620.0,1600.0,2.0,2.0,100.0,100.0,1.05,1.25,2.0
2375.0,3414.0,2292.0,2.0,2.0,95.0,50.0,1.44,0.9,2.0
7600.0,2112.0,1140.0,2.0,1.0,76.0,18.0,0.28,0.5,1.0
2200.0,2135.0,2135.0,2.0,2.5,88.0,40.0,0.97,0.9,2.0
2099.0,1862.0,1862.0,1.0,2.0,110.0,55.0,0.89,1.25,2.0
2725.0,1772.0,1224.0,1.0,2.0,109.0,36.0,0.65,0.9,2.0
2500.0,2100.0,1440.0,1.0,2.0,100.0,36.0,0.84,0.9,2.0
2500.0,1472.0,1472.0,2.0,2.0,100.0,46.0,0.59,1.1,2.0
2581.0,3508.0,3508.0,1.0,3.0,116.42,56.0,1.36,2.0,2.0
2133.0,1664.0,1024.0,2.0,2.0,101.42,32.0,0.78,0.6,1.0
3090.0,2750.0,2156.0,1.0,2.0,103.0,55.0,0.89,1.25,2.0
2557.0,1638.0,936.0,1.0,1.0,101.25,40.0,0.64,0.9,2.0
2622.0,1280.0,1280.0,1.0,2.0,97.42,36.0,0.49,0.9,2.0
1667.0,2160.0,1600.0,1.0,2.0,100.0,50.0,1.3,2.43,4.8
1995.0,3060.0,3060.0,1.0,3.0,95.0,50.0,1.53,3.0,3.0
5000.0,2376.0,1584.0,1.0,2.5,100.0,48.0,0.48,0.9,2.0
4116.0,2528.0,2528.0,1.0,2.5,110.0,36.0,0.61,1.1,2.0
2000.0,2400.0,2400.0,1.0,3.0,100.0,40.0,1.2,2.43,4.8
2565.0,2040.0,2040.0,1.0,2.0,95.0,60.0,0.8,2.0,2.0
5367.0,1560.0,1560.0,2.0,2.0,100.0,26.0,0.29,0.6,1.0
1710.0,2553.0,2553.0,1.0,3.0,92.5,46.0,1.49,3.0,3.0
3213.0,1704.0,1704.0,2.0,2.0,88.93,24.0,0.53,0.9,2.0
2604.0,3450.0,3450.0,1.0,3.0,112.42,56.08,1.32,4.0,4.0
3325.0,11580.0,11580.0,1.0,4.0,100.0,89.0,3.48,2.43,4.8
2500.0,2256.0,2256.0,1.0,2.5,100.0,34.0,0.9,1.25,2.0
2102.0,3140.0,620.0,2.0,2.0,105.08,62.0,1.49,2.43,4.8
3135.0,3462.0,3462.0,1.0,2.0,95.0,60.0,1.1,1.1,2.0
7341.0,2780.0,2780.0,1.0,2.0,114.75,63.0,0.38,0.6,1.0
2500.0,1080.0,1080.0,1.0,2.5,100.0,30.0,0.43,0.9,2.0
4698.0,2487.0,2487.0,1.0,2.5,82.08,25.0,0.53,1.25,2.0
2342.0,2048.0,2048.0,1.0,2.0,100.0,50.0,0.87,1.35,2.0
2680.0,1332.0,1332.0,1.0,2.0,92.42,37.0,0.5,0.9,2.0
2125.0,2508.0,2508.0,1.0,2.0,85.0,53.0,1.18,3.44,4.8
2500.0,1428.0,1428.0,2.0,2.0,100.0,38.0,0.57,1.1,2.0
2500.0,1658.0,1658.0,2.0,2.5,100.0,39.0,0.66,1.1,2.0
3900.0,1764.0,1176.0,2.0,2.0,100.0,21.5,0.45,0.9,2.0
2913.0,1960.0,1960.0,1.0,2.0,95.0,49.0,0.67,1.25,2.0
1903.0,2646.0,1764.0,1.0,2.0,102.42,49.0,1.39,2.43,4.8
10719.0,20710.0,20710.0,1.0,5.0,102.66,44.0,1.93,3.44,4.8
2941.0,3126.0,3126.0,1.0,3.0,137.91,49.0,1.06,2.43,4.8
3650.0,1230.0,1230.0,1.0,3.0,82.83,55.68,0.34,2.0,2.0
2550.0,1328.0,1328.0,2.0,2.0,119.86,36.0,0.52,0.9,2.0
2642.0,2468.0,1992.0,1.0,2.0,100.0,46.0,0.93,0.9,2.0
9186.0,43000.0,43000.0,1.0,6.0,95.0,85.0,4.68,6.02,6.5
2738.0,2338.0,2338.0,1.0,3.0,150.0,47.42,0.85,3.0,3.0
2500.0,2856.0,2856.0,2.0,2.0,100.0,68.0,1.14,0.9,2.0
3117.0,1480.0,1480.0,1.0,2.0,100.0,27.0,0.47,0.9,2.0
4750.0,1004.0,1004.0,1.0,1.5,95.0,30.0,0.21,0.6,1.0
1900.0,2280.0,2280.0,1.0,3.0,100.0,40.0,1.2,3.44,6.5
1800.0,3120.0,3120.0,2.0,3.0,90.0,52.0,1.73,2.43,4.8
5855.0,1188.0,1188.0,2.0,1.75,97.58,38.0,0.2,0.6,1.0
2683.0,3592.0,3592.0,1.0,3.0,107.33,54.83,1.34,0.9,2.0
2575.0,1800.0,1800.0,1.0,2.0,103.0,45.0,0.7,1.25,2.0
2917.0,2704.0,2704.0,1.0,3.0,95.1,52.0,0.93,1.1,2.0
1922.0,1665.0,1152.0,1.0,2.0,107.25,32.0,0.87,0.9,2.0
4000.0,16065.0,12852.0,1.0,5.0,100.0,88.0,4.02,3.44,4.8
5800.0,2025.0,2025.0,2.0,3.0,100.0,25.0,0.35,0.9,2.0
2191.0,2055.0,2055.0,1.0,2.5,95.25,45.83,0.94,6.02,6.5
3220.0,1209.0,1209.0,1.0,1.0,102.0,39.0,0.38,0.6,1.0
3500.0,2227.0,1850.0,1.0,2.0,100.0,40.0,0.64,0.9,2.0
5000.0,5226.0,5226.0,1.0,3.0,100.0,52.0,1.05,0.9,2.0
4140.0,4092.0,2576.0,2.0,3.0,142.75,53.0,0.99,3.44,4.8
1458.0,1116.0,1116.0,1.0,2.0,81.0,31.0,0.77,0.9,2.0
1505.0,2004.0,1336.0,1.0,2.0,90.0,40.0,1.33,3.44,4.8
